Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0lcA970opKisQ0Gvo2qbrF,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,0,"This song is growing on me. Like some funky fungus.
I like it but points are needed elsewhere. ",d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:0PXS1yrtf6MrJYjv90BJmd,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,2,Who says that funk and practicality can’t coexist?,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:1v1PV2wERHiMPesMWX0qmO,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,1,The OG funketeers. Wish I had more points!,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:20VuO95A8RxUPlShnfYArW,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,0,"It has its moments, but somehow for me its various ingredients are not fully blending into an ineffably tasty soul stew. 
Maybe it needs to sit overnight in the fridge. ",d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:3FZB0xezeoc1ddx72eg7iF,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,2,This is so seventies. Peak funk. ,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:3pc7Pgoetgnttp6dyIu9US,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,0,"So let me see if I have this straight:
This is the thirteenth song from a group called 10 
Good Songs?

I like the overprocessed guitar + whatever solos but I have to round down on this one so I can round up elsewhere. ",d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:3Zl0tZ2K1LgnJTyEaI1M6N,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,1,"Fun!
A little bit funky… and a little bit rock & roll. ",d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:5xLqifhKZLv724YpWls2kJ,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,3,"DC is a mess, but at least its music is funkalicious. 
And that trombone solo!",d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:6MqfTP3OwngywVTOS5OAFt,3632dbc7e55d4e3380f090997355e7ae,2023-05-04T02:30:56Z,3,"Nota Bene: to make good soulful funk, you need to use US Customary Units. Not metric like those British recipes. 
Maybe Labi can try that? ",d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:0lcA970opKisQ0Gvo2qbrF,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,0,Is this what passes for funk in Joe Biden’s America?,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:0PXS1yrtf6MrJYjv90BJmd,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,1,The sax adds to the funkitude but I don’t know if it’s all that funky. ,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:1v1PV2wERHiMPesMWX0qmO,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,3,"If you looked up funk in the dictionary, you would see a picture of George Clinton and the rest of parliament. Great pick. ",d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:20VuO95A8RxUPlShnfYArW,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,2,If it weren’t for the keys on this one I wouldn’t have found it very funky. Also for a second I thought Spotify had just switched over to Eminem all of the sudden. ,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:3pc7Pgoetgnttp6dyIu9US,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,1,Cowboy Funk?,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:3Zl0tZ2K1LgnJTyEaI1M6N,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,0,The bass adds funk while Paul’s voice subtracts. ,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:5xLqifhKZLv724YpWls2kJ,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,2,If there is good bass and laser/spaceship noises it definitely qualifies as funk. ,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:6MqfTP3OwngywVTOS5OAFt,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,1,This song makes me feel like I’m the queen and I get to treat you like you’re all the sorry people. ,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:72PoJMDfdaw9gGECgA9kTZ,45aed3c10e8c45c98b4a63680e9da7b7,2023-05-04T15:11:18Z,2,This song has gotta have some funk. ,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:0lcA970opKisQ0Gvo2qbrF,04c84c21eb3f476a906541faa6818b13,2023-05-04T16:34:59Z,0,steel drums have entered the mix,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:0PXS1yrtf6MrJYjv90BJmd,04c84c21eb3f476a906541faa6818b13,2023-05-04T16:34:59Z,0,a responsible fella,d6c0b6c1e71a4139b3147af8ebdda540
spotify:track:1v1PV2wERHiMPesMWX0qmO,04c84c21eb3f476a906541faa6818b13,2023-05-04T16:34:59Z,2,"funk can transcend genre, but this is 100% genuine funk",d6c0b6c1e71a4139b3147af8ebdda540
